                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5741,                 3.0579,                 3.0371,                0.62608,                0.37383,                0.40486,                0.12488,                 2.0671,                 3.5894,                 2.3728,             0.00066515,             0.00066515,             0.00066515
                      2,                 1.6709,                 1.3898,                  1.928,                0.93137,                0.80549,                0.87454,                0.51402,                 1.4816,                 1.1705,                 1.8321,              0.0013054,              0.0013054,              0.0013054
                      3,                 1.5233,                 1.1144,                 1.7553,                0.92777,                0.81077,                0.88873,                0.56253,                 1.4248,                 1.0635,                  1.717,              0.0019193,              0.0019193,              0.0019193
                      4,                 1.4567,                 1.0133,                 1.6811,                0.95457,                0.85163,                0.91568,                0.58189,                 1.3735,                0.86265,                 1.6853,              0.0018812,              0.0018812,              0.0018812
                      5,                    1.4,                0.92331,                 1.6309,                0.94575,                0.85304,                0.92092,                0.57974,                 1.3235,                0.81938,                 1.6783,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3738,                0.88656,                 1.6054,                0.94262,                0.86152,                0.92313,                0.59812,                 1.3014,                0.81623,                 1.6603,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3525,                0.84238,                 1.5774,                0.93766,                0.85732,                0.92093,                0.59143,                 1.3051,                0.82073,                 1.6597,               0.001802,               0.001802,               0.001802
                      8,                 1.3299,                0.80784,                 1.5691,                 0.9579,                0.86811,                0.93344,                0.61026,                 1.2809,                0.77406,                 1.6296,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3131,                0.77628,                  1.552,                0.95501,                0.87282,                0.93607,                0.61725,                 1.2737,                0.75205,                 1.6212,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2949,                0.76365,                 1.5383,                0.96141,                0.89072,                 0.9454,                0.63028,                 1.2442,                0.67317,                 1.5793,              0.0016832,              0.0016832,              0.0016832
                     11,                  1.277,                0.73802,                 1.5258,                0.96164,                0.89745,                0.94967,                 0.6276,                   1.25,                0.68691,                 1.5962,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2597,                0.71875,                 1.5138,                0.96235,                  0.891,                 0.9448,                0.62969,                 1.2457,                0.66684,                 1.6013,               0.001604,               0.001604,               0.001604
                     13,                 1.2583,                0.71202,                 1.5035,                0.97588,                 0.8957,                0.95521,                0.63913,                 1.2072,                0.63881,                 1.5351,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2514,                0.69508,                 1.4949,                0.96729,                 0.9025,                0.95265,                 0.6354,                 1.2167,                0.66124,                 1.5305,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2494,                0.68913,                 1.4984,                0.96537,                0.90611,                0.95469,                 0.6436,                 1.2201,                 0.6288,                 1.5643,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2402,                0.67362,                 1.4895,                0.94144,                0.90871,                0.95503,                0.63471,                 1.2502,                0.62935,                  1.569,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2365,                 0.6688,                 1.4867,                  0.966,                   0.91,                0.95915,                 0.6475,                 1.1957,                0.60814,                 1.5291,               0.001406,               0.001406,               0.001406
                     18,                 1.2175,                0.65145,                 1.4744,                0.96867,                0.91742,                0.96495,                0.65371,                 1.1912,                0.59084,                 1.5279,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2238,                0.64803,                 1.4705,                0.96244,                 0.9105,                 0.9575,                0.64498,                 1.2045,                0.58682,                 1.5651,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2059,                0.63542,                 1.4596,                0.96321,                0.90956,                0.96018,                0.65129,                 1.2082,                0.58705,                 1.5561,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1993,                0.62571,                  1.459,                0.96983,                0.92349,                0.96613,                0.66405,                 1.1872,                0.54204,                 1.5265,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1991,                0.62133,                 1.4606,                0.96403,                 0.9204,                0.96165,                0.65428,                 1.1753,                0.57394,                 1.5352,               0.001208,               0.001208,               0.001208
                     23,                 1.1927,                0.61352,                 1.4534,                0.95331,                0.91356,                0.96058,                0.65804,                 1.1729,                0.58875,                 1.5178,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1819,                0.59798,                 1.4505,                0.97113,                0.90909,                0.96206,                0.66426,                 1.1597,                0.55489,                 1.5116,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1769,                0.59712,                 1.4384,                0.95965,                0.92974,                0.96243,                0.66643,                 1.1629,                0.54567,                 1.5054,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1679,                0.59195,                 1.4306,                0.94517,                0.92463,                 0.9609,                0.66002,                 1.1626,                0.53992,                 1.5117,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1618,                0.58575,                 1.4325,                0.96986,                 0.9246,                0.96351,                0.66038,                 1.1651,                0.54396,                 1.5127,                0.00101,                0.00101,                0.00101
                     28,                 1.1593,                0.58184,                 1.4236,                0.97519,                 0.9258,                0.96969,                 0.6672,                  1.158,                0.53297,                 1.5051,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.1578,                 0.5817,                 1.4233,                0.97203,                0.92463,                0.96991,                0.68071,                 1.1363,                 0.5282,                 1.4875,              0.0009308,              0.0009308,              0.0009308
                     30,                   1.16,                0.57659,                 1.4329,                0.97484,                0.93077,                0.96832,                0.67262,                 1.1521,                0.51175,                 1.5031,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1382,                 0.5601,                 1.4101,                0.97127,                0.92372,                0.97001,                0.68029,                  1.147,                0.51309,                 1.5021,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1432,                0.56705,                 1.4123,                0.97287,                0.92912,                0.96223,                0.66885,                 1.1409,                0.51308,                 1.4769,               0.000812,               0.000812,               0.000812
