                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5741,                 3.0579,                 3.0371,                0.62608,                0.37383,                0.40486,                0.12488,                 2.0671,                 3.5894,                 2.3728,             0.00066515,             0.00066515,             0.00066515
                      2,                 1.6664,                 1.3857,                 1.9193,                0.92828,                0.80405,                0.86658,                0.54172,                 1.4065,                 1.1372,                 1.7428,              0.0012879,              0.0012879,              0.0012879
                      3,                 1.5277,                 1.1277,                 1.7565,                0.88647,                0.79699,                0.85666,                0.54176,                 1.4241,                 1.1186,                 1.7506,              0.0018666,              0.0018666,              0.0018666
                      4,                 1.4534,                0.98399,                 1.6752,                0.93648,                0.84022,                0.91487,                0.57645,                 1.3546,                0.89158,                 1.6567,               0.001802,               0.001802,               0.001802
                      5,                 1.3975,                 0.9186,                 1.6289,                0.93657,                0.85552,                0.91551,                 0.5863,                 1.3292,                 0.8109,                 1.6609,               0.001802,               0.001802,               0.001802
                      6,                 1.3754,                0.87171,                 1.6025,                0.95165,                0.85822,                0.92894,                0.59968,                 1.2951,                0.83876,                 1.6188,               0.001736,               0.001736,               0.001736
                      7,                 1.3515,                 0.8366,                 1.5729,                0.94168,                0.87465,                0.92761,                0.61071,                 1.2756,                0.85143,                 1.6231,                0.00167,                0.00167,                0.00167
                      8,                 1.3218,                 0.7975,                 1.5595,                0.96625,                0.87518,                0.94039,                0.61839,                 1.2739,                0.73153,                 1.6217,               0.001604,               0.001604,               0.001604
                      9,                 1.3037,                0.76417,                  1.541,                0.94423,                 0.8852,                0.93928,                0.60965,                  1.307,                0.71429,                 1.6602,               0.001538,               0.001538,               0.001538
                     10,                 1.2812,                0.75191,                 1.5251,                0.96055,                0.89465,                0.94684,                0.62667,                 1.2468,                0.67203,                 1.5799,               0.001472,               0.001472,               0.001472
                     11,                 1.2671,                0.72217,                 1.5125,                0.91778,                0.89402,                0.94484,                0.62768,                 1.2429,                0.65983,                 1.5847,               0.001406,               0.001406,               0.001406
                     12,                   1.25,                0.69681,                  1.504,                0.94432,                0.89469,                0.94054,                0.62728,                 1.2369,                0.65806,                 1.5915,                0.00134,                0.00134,                0.00134
                     13,                 1.2428,                0.69244,                 1.4838,                0.97118,                0.90459,                 0.9584,                0.63238,                 1.2333,                0.62635,                 1.5848,               0.001274,               0.001274,               0.001274
                     14,                 1.2366,                0.68052,                 1.4779,                0.94313,                0.90014,                0.94877,                0.64061,                 1.2108,                0.62696,                 1.5273,               0.001208,               0.001208,               0.001208
                     15,                 1.2334,                0.67516,                 1.4788,                0.96377,                0.91476,                0.95923,                0.65169,                 1.2039,                0.59249,                 1.5282,               0.001142,               0.001142,               0.001142
                     16,                 1.2262,                0.65918,                 1.4721,                0.95844,                0.92181,                0.96021,                0.64396,                  1.215,                0.60821,                 1.5155,               0.001076,               0.001076,               0.001076
                     17,                 1.2169,                0.65075,                 1.4604,                0.96511,                0.92505,                0.96393,                0.65684,                 1.1775,                0.57314,                  1.492,                0.00101,                0.00101,                0.00101
                     18,                 1.1973,                0.63467,                 1.4527,                0.97406,                0.91971,                0.96278,                0.66127,                 1.1739,                0.56914,                 1.4991,               0.000944,               0.000944,               0.000944
                     19,                    1.2,                0.62626,                 1.4417,                0.96823,                0.91804,                0.96145,                0.66405,                 1.1583,                0.55726,                 1.5079,               0.000878,               0.000878,               0.000878
                     20,                 1.1826,                 0.6139,                 1.4315,                0.97116,                0.91985,                0.96039,                0.66196,                 1.1645,                0.55862,                 1.5053,               0.000812,               0.000812,               0.000812
                     21,                 1.1373,                0.53947,                 1.4479,                 0.9791,                 0.9269,                0.96878,                0.67644,                 1.1454,                0.53978,                 1.4918,               0.000746,               0.000746,               0.000746
                     22,                 1.1218,                0.53618,                 1.4304,                0.97316,                0.92887,                0.96773,                0.67167,                 1.1481,                0.53255,                 1.4991,                0.00068,                0.00068,                0.00068
                     23,                 1.1199,                0.51625,                 1.4336,                0.97304,                0.93495,                0.97111,                0.67455,                 1.1443,                 0.5241,                  1.502,               0.000614,               0.000614,               0.000614
                     24,                  1.111,                0.51053,                 1.4202,                0.97627,                0.93023,                0.96979,                0.67659,                 1.1343,                0.52435,                 1.4909,               0.000548,               0.000548,               0.000548
                     25,                 1.0985,                0.49597,                 1.4129,                0.98055,                0.92592,                 0.9704,                0.68006,                 1.1348,                0.49932,                 1.4869,               0.000482,               0.000482,               0.000482
                     26,                 1.0928,                0.48818,                 1.4088,                0.97432,                0.93829,                0.97135,                0.68073,                  1.123,                0.50026,                 1.4636,               0.000416,               0.000416,               0.000416
                     27,                 1.0856,                0.47986,                 1.3979,                0.97823,                0.93735,                0.97382,                 0.6865,                 1.1082,                0.49323,                 1.4524,                0.00035,                0.00035,                0.00035
                     28,                 1.0737,                0.47297,                 1.3861,                0.97821,                0.93453,                0.97265,                0.68587,                   1.12,                0.48004,                 1.4612,               0.000284,               0.000284,               0.000284
                     29,                 1.0717,                0.46441,                 1.3821,                0.98077,                0.93675,                0.97334,                0.69047,                 1.1121,                0.47399,                 1.4465,               0.000218,               0.000218,               0.000218
                     30,                  1.057,                0.45314,                 1.3723,                0.97844,                0.94253,                 0.9759,                0.69447,                 1.1066,                  0.467,                 1.4461,               0.000152,               0.000152,               0.000152
